transaction_id,customer_id,timestamp,amount,currency,channel,merchant_category,country,device_id,is_new_beneficiary,label,typology,home_country,age,tenure_months,account_type
T0000000,C00000,36:17.1,770.49,INR,UPI,travel,IN,D9776,0,0,none,IN,23,211,current
T0000001,C00000,58:19.1,394.86,INR,UPI,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000002,C00000,01:56.7,1889.75,INR,UPI,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000003,C00000,00:50.5,1690.17,INR,IMPS,p2p_transfer,IN,D9776,0,0,none,IN,23,211,current
T0000004,C00000,47:23.4,1303,INR,ATM,utilities,IN,D9776,0,0,none,IN,23,211,current
T0000005,C00000,38:35.1,2121.82,INR,IMPS,p2p_transfer,IN,D9776,0,0,none,IN,23,211,current
T0000006,C00000,08:28.3,585.07,INR,CARD_POS,electronics,RU,D9776,0,0,none,IN,23,211,current
T0000007,C00000,44:29.9,894.51,INR,UPI,fuel,IN,D9776,1,0,none,IN,23,211,current
T0000008,C00000,14:19.9,352.61,INR,UPI,cash,IN,D9776,0,0,none,IN,23,211,current
T0000009,C00000,30:02.3,205.48,INR,IMPS,utilities,IN,D9776,0,0,none,IN,23,211,current
T0000010,C00000,14:49.9,1146.72,INR,BRANCH_CASH,food_delivery,IN,D9776,0,0,none,IN,23,211,current
T0000011,C00000,41:31.2,776.4,INR,UPI,restaurant,IN,D4006,0,0,none,IN,23,211,current
T0000012,C00000,26:51.7,1025.47,INR,CARD_POS,restaurant,IN,D6806,1,0,none,IN,23,211,current
T0000013,C00000,42:07.7,2032.78,INR,ATM,fuel,IN,D5276,0,0,none,IN,23,211,current
T0000014,C00000,34:02.1,52654.99,INR,BRANCH_CASH,cash,IN,D9776,0,0,none,IN,23,211,current
T0000015,C00000,44:50.4,8386.48,INR,CARD_ONLINE,electronics,IN,D9776,0,0,none,IN,23,211,current
T0000016,C00000,10:25.5,911.97,INR,CARD_POS,p2p_transfer,IN,D9776,0,0,none,IN,23,211,current
T0000017,C00000,19:18.5,874.54,INR,UPI,mobile_recharge,IN,D9776,0,0,none,IN,23,211,current
T0000018,C00000,57:50.3,118137.41,INR,BRANCH_CASH,cash,IN,D9776,0,0,none,IN,23,211,current
T0000019,C00000,38:39.4,185.71,INR,CARD_POS,gold_jewellery,IN,D9776,0,0,none,IN,23,211,current
T0000020,C00000,53:18.6,2059.88,INR,UPI,cash,IN,D9776,0,0,none,IN,23,211,current
T0000021,C00000,08:08.4,621.33,INR,CARD_ONLINE,restaurant,IN,D9776,0,0,none,IN,23,211,current
T0000022,C00000,02:05.9,1168.15,INR,UPI,travel,IN,D9776,0,0,none,IN,23,211,current
T0000023,C00000,59:58.7,512.53,INR,CARD_POS,kirana,IN,D5449,0,0,none,IN,23,211,current
T0000024,C00000,05:29.1,1052.42,INR,UPI,gold_jewellery,IN,D9776,1,0,none,IN,23,211,current
T0000025,C00000,13:32.6,17628.43,INR,CARD_ONLINE,electronics,IN,D9776,0,0,none,IN,23,211,current
T0000026,C00000,29:44.9,1298.14,INR,CARD_POS,p2p_transfer,AE,D8493,0,0,none,IN,23,211,current
T0000027,C00000,59:33.3,564.33,INR,CARD_ONLINE,utilities,IN,D9776,0,0,none,IN,23,211,current
T0000028,C00000,51:00.2,827.33,INR,UPI,fuel,IN,D9776,0,0,none,IN,23,211,current
T0000029,C00000,56:27.8,1826.06,INR,IMPS,p2p_transfer,IN,D9776,0,0,none,IN,23,211,current
T0000030,C00000,38:56.4,1951.8,INR,UPI,mobile_recharge,IN,D9776,0,0,none,IN,23,211,current
T0000031,C00000,14:53.1,879.33,INR,UPI,cash,IN,D9776,0,0,none,IN,23,211,current
T0000032,C00000,12:23.1,912.67,INR,IMPS,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000033,C00000,28:14.6,923.11,INR,CARD_POS,fuel,IN,D9776,1,0,none,IN,23,211,current
T0000034,C00000,03:09.5,380.78,INR,UPI,fuel,IN,D3219,1,0,none,IN,23,211,current
T0000035,C00000,06:33.1,734.5,INR,UPI,mobile_recharge,IN,D9776,1,0,none,IN,23,211,current
T0000036,C00000,04:58.6,184.62,INR,BRANCH_CASH,p2p_transfer,IN,D9776,0,0,none,IN,23,211,current
T0000037,C00000,34:29.1,320.48,INR,UPI,food_delivery,IN,D9776,0,0,none,IN,23,211,current
T0000038,C00000,03:14.3,940.65,INR,ATM,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000039,C00000,50:12.4,397.98,INR,UPI,utilities,IN,D9776,0,0,none,IN,23,211,current
T0000040,C00000,18:41.0,235.12,INR,UPI,kirana,IN,D2097,0,0,none,IN,23,211,current
T0000041,C00000,58:45.5,437.78,INR,UPI,kirana,IN,D9776,1,0,none,IN,23,211,current
T0000042,C00000,17:04.0,5156.32,INR,UPI,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000043,C00000,17:59.1,497.86,INR,UPI,utilities,IN,D9776,0,0,none,IN,23,211,current
T0000044,C00000,43:46.8,999.31,INR,ATM,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000045,C00000,56:21.1,1370.57,INR,CARD_ONLINE,fuel,IN,D7324,0,0,none,IN,23,211,current
T0000046,C00000,39:32.8,1000.36,INR,CARD_ONLINE,utilities,IN,D9776,0,0,none,IN,23,211,current
T0000047,C00000,24:52.9,571.04,INR,UPI,mobile_recharge,IN,D9776,0,0,none,IN,23,211,current
T0000048,C00000,20:49.2,150.64,INR,IMPS,kirana,IN,D9776,0,0,none,IN,23,211,current
T0000049,C00001,19:19.4,1144.55,INR,CARD_POS,cash,IN,D6022,0,0,none,IN,60,115,current
T0000050,C00001,50:51.5,622.63,INR,CARD_POS,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000051,C00001,15:26.6,626.87,INR,CARD_POS,kirana,IN,D6022,1,0,none,IN,60,115,current
T0000052,C00001,36:24.2,463.91,INR,UPI,mobile_recharge,IN,D6022,0,0,none,IN,60,115,current
T0000053,C00001,25:51.4,1145.9,INR,UPI,p2p_transfer,IN,D6022,0,0,none,IN,60,115,current
T0000054,C00001,20:00.7,997.43,INR,NEFT,mobile_recharge,IN,D6022,0,0,none,IN,60,115,current
T0000055,C00001,35:15.8,629.37,INR,UPI,p2p_transfer,SG,D6022,0,0,none,IN,60,115,current
T0000056,C00001,48:17.6,1735.59,INR,BRANCH_CASH,crypto,IN,D6022,0,0,none,IN,60,115,current
T0000057,C00001,08:51.6,181.27,INR,ATM,cash,IN,D6022,0,0,none,IN,60,115,current
T0000058,C00001,24:11.4,1112.68,INR,CARD_ONLINE,electronics,IN,D6022,1,0,none,IN,60,115,current
T0000059,C00001,09:14.1,820.33,INR,UPI,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000060,C00001,34:43.0,2316.87,INR,IMPS,fuel,IN,D6022,0,0,none,IN,60,115,current
T0000061,C00001,02:02.2,439.64,INR,UPI,kirana,IN,D6022,1,0,none,IN,60,115,current
T0000062,C00001,42:31.3,9792.04,INR,CARD_ONLINE,gold_jewellery,IN,D1527,0,0,none,IN,60,115,current
T0000063,C00001,02:39.0,387.51,INR,CARD_POS,fuel,IN,D6022,0,0,none,IN,60,115,current
T0000064,C00001,30:42.5,319.14,INR,UPI,food_delivery,IN,D6022,0,0,none,IN,60,115,current
T0000065,C00001,39:46.3,2228.28,INR,CARD_POS,utilities,IN,D6022,1,0,none,IN,60,115,current
T0000066,C00001,33:29.3,2290.61,INR,IMPS,food_delivery,IN,D6022,0,0,none,IN,60,115,current
T0000067,C00001,46:06.1,1660.54,INR,UPI,utilities,IN,D7287,0,0,none,IN,60,115,current
T0000068,C00001,15:42.3,287.98,INR,CARD_ONLINE,utilities,IN,D6022,0,0,none,IN,60,115,current
T0000069,C00001,54:39.0,393.86,INR,NEFT,fuel,IN,D6022,0,0,none,IN,60,115,current
T0000070,C00001,22:29.6,1875.38,INR,UPI,food_delivery,IN,D8875,0,0,none,IN,60,115,current
T0000071,C00001,47:27.7,533.19,INR,UPI,p2p_transfer,IN,D6022,1,0,none,IN,60,115,current
T0000072,C00001,10:53.1,1988.2,INR,IMPS,mobile_recharge,IN,D6022,0,0,none,IN,60,115,current
T0000073,C00001,26:49.2,145.71,INR,CARD_ONLINE,p2p_transfer,IN,D6022,0,0,none,IN,60,115,current
T0000074,C00001,51:07.9,1755.77,INR,ATM,gold_jewellery,IN,D6022,0,0,none,IN,60,115,current
T0000075,C00001,46:55.2,745.29,INR,CARD_POS,p2p_transfer,IN,D6022,0,0,none,IN,60,115,current
T0000076,C00001,33:52.9,1104.31,INR,CARD_POS,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000077,C00001,17:57.8,419.16,INR,ATM,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000078,C00001,09:21.7,1155.89,INR,UPI,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000079,C00001,34:20.4,291.79,INR,UPI,restaurant,IN,D7278,0,0,none,IN,60,115,current
T0000080,C00001,42:44.2,433.16,INR,UPI,crypto,NG,D5195,0,0,none,IN,60,115,current
T0000081,C00001,50:10.9,380.14,INR,UPI,utilities,NG,D6022,0,0,none,IN,60,115,current
T0000082,C00001,18:00.3,903.62,INR,BRANCH_CASH,restaurant,NG,D6022,0,0,none,IN,60,115,current
T0000083,C00001,37:08.7,488.28,INR,UPI,food_delivery,NG,D6022,0,0,none,IN,60,115,current
T0000084,C00001,49:08.6,300.91,INR,UPI,restaurant,NG,D2263,0,0,none,IN,60,115,current
T0000085,C00001,55:29.3,528.65,INR,UPI,utilities,NG,D0262,0,0,none,IN,60,115,current
T0000086,C00001,50:10.8,515.27,INR,CARD_ONLINE,travel,NG,D6022,0,0,none,IN,60,115,current
T0000087,C00001,12:49.8,502.44,INR,UPI,mobile_recharge,NG,D6022,0,0,none,IN,60,115,current
T0000088,C00001,51:50.5,9046.07,INR,IMPS,gold_jewellery,NG,D6022,0,0,none,IN,60,115,current
T0000089,C00001,35:08.5,721.37,INR,NEFT,kirana,NG,D6022,0,0,none,IN,60,115,current
T0000090,C00001,26:09.9,928.9,INR,UPI,restaurant,NG,D6022,1,0,none,IN,60,115,current
T0000091,C00001,02:34.7,686,INR,UPI,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000092,C00001,57:35.4,70434.6,INR,ATM,cash,IN,D6022,0,0,none,IN,60,115,current
T0000093,C00001,28:57.4,275.74,INR,IMPS,fuel,IN,D6022,0,0,none,IN,60,115,current
T0000094,C00001,07:13.6,732.3,INR,ATM,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000095,C00001,43:07.5,953.11,INR,NEFT,p2p_transfer,IN,D6022,0,0,none,IN,60,115,current
T0000096,C00001,21:30.7,768.25,INR,CARD_POS,kirana,IN,D6022,0,0,none,IN,60,115,current
T0000097,C00001,33:31.8,3417.67,INR,UPI,kirana,IN,D9018,0,0,none,IN,60,115,current
T0000098,C00001,26:27.2,1024.14,INR,UPI,gaming,IN,D6022,0,0,none,IN,60,115,current
T0000099,C00001,25:54.6,2951.79,INR,IMPS,p2p_transfer,IN,D6022,0,0,none,IN,60,115,current
T0000100,C00001,37:29.6,3390.63,INR,UPI,restaurant,IN,D6022,0,0,none,IN,60,115,current
